iter	RMSE
139	0.5309469758
140	0.5282340585
141	0.5253040235
142	0.5227555407
143	0.5200866929
144	0.5175367451
145	0.5101290078
146	0.5039173937
147	0.4972647696
148	0.4949184967
149	0.4926075183
150	0.4905615697
151	0.4864518974
152	0.4790216671
153	0.476576148
154	0.4695823428
155	0.4673421915
156	0.4648530533
157	0.4629714949
158	0.4571793347
159	0.4550100216
160	0.4483416028
161	0.446357507
162	0.4441116797
163	0.4420695121
164	0.4400486109
165	0.4381822065
166	0.4361057281
167	0.4342331848
168	0.4322502332
169	0.4303445927
170	0.424926759
171	0.4231155183
172	0.4213303147
173	0.4196386714
174	0.4179166159
175	0.4126829173
176	0.407391608
177	0.4028073814
178	0.3982020848
179	0.3966423661
180	0.3950414066
181	0.3935305042
182	0.3920436614
183	0.3905565395
184	0.3889789173
185	0.3875617764
186	0.3860728407
187	0.3847006934
188	0.3832511085
189	0.3819227428
190	0.3805821842
191	0.3792306011
192	0.3778735806
193	0.3765632637
194	0.3753394927
195	0.3714853086
196	0.3670768208
197	0.3629337485
198	0.3617158563
199	0.3605625676
200	0.3593936532
201	0.3555099798
202	0.3520998141
203	0.3487046703
204	0.3475872768
205	0.3439373709
206	0.3428464002
207	0.3417801139
208	0.338227629
209	0.3348629117
210	0.3338503722
211	0.3328205613
212	0.3318268784
213	0.3287662149
214	0.3277600969
215	0.3268236886
216	0.3259020487
217	0.3230911657
218	0.3221830375
219	0.3212916963
220	0.3204154856
221	0.319565629
222	0.3169147001
223	0.3160442476
224	0.3152326566
225	0.3144164563
226	0.3135789096
227	0.3127302685
228	0.3103560305
229	0.3096077012
230	0.308880274
231	0.3061594711
232	0.3054014481
233	0.3028654673
234	0.3021033289
235	0.3014064182
236	0.3007431959
237	0.2985309746
238	0.2978173199
239	0.2971460309
240	0.2951331073
241	0.2944536728
242	0.2938154881
243	0.2932193502
244	0.2913623184
245	0.2907886003
246	0.2901903986
247	0.2875832719
248	0.2856198198
249	0.2850564477
250	0.2844679903
251	0.2838904849
252	0.2821171017
253	0.2816116731
254	0.2810869525
255	0.2789723612
256	0.2772864604
257	0.2767842178
258	0.2762904285
259	0.2746329458
260	0.274133106
261	0.273685048
262	0.2718901288
263	0.2714602038
264	0.2710380715
265	0.26945334
266	0.2690406534
267	0.2683055066
268	0.2678899492
269	0.2663409845
270	0.2659082924
271	0.2644221734
272	0.2640318314
273	0.2636486046
274	0.2632058391
275	0.2614731299
276	0.2611246992
277	0.2597421465
278	0.2593882725
279	0.259060362
280	0.257788131
281	0.257451237
282	0.2571370764
283	0.2562153682
284	0.2558950997
285	0.2555748983
286	0.2543827048
287	0.2521069475
288	0.2503421057
289	0.250043816
290	0.2497496431
291	0.2494622129
292	0.248518268
293	0.2482402424
294	0.2479673816
295	0.2467645355
296	0.2465003105
297	0.2455107527
298	0.2431964107
299	0.2429430866
300	0.2426944874
301	0.2416066416
302	0.2406298448
303	0.2403924667
304	0.2401595289
305	0.2389673534
306	0.2387417867
307	0.2367153748
308	0.2364961757
309	0.2362810897
310	0.2360700431
311	0.2350145405
312	0.2348102213
313	0.2338752704
314	0.2336775554
315	0.233483566
316	0.2324285498
317	0.2322407841
318	0.2320565634
319	0.2311492364
320	0.2309709778
321	0.2307960909
322	0.2291213059
323	0.2289514018
324	0.2287847164
325	0.2274072298
326	0.2272454452
327	0.2270867303
328	0.2262753787
329	0.2261218224
330	0.2252646365
331	0.2251158891
332	0.2247939375
333	0.2237944927
334	0.2236527858
335	0.2218916022
336	0.2211065189
337	0.2209708096
338	0.220837688
339	0.2207071063
340	0.2187721421
341	0.217208531
342	0.2170826952
343	0.2169592632
344	0.2163092013
345	0.2153761818
346	0.215258306
347	0.2144557524
348	0.2143415108
349	0.2140763549
350	0.2139662259
351	0.2123418538
352	0.2122348928
353	0.2116291482
354	0.2113835192
355	0.2106479869
356	0.2091738945
357	0.2090743917
358	0.2085201318
359	0.2084238624
360	0.208329443
361	0.2071500308
362	0.2070584598
363	0.2063486609
364	0.2062598696
365	0.2049542225
366	0.2046343913
367	0.2044280112
368	0.2043415457
369	0.2042600388
370	0.2027519496
371	0.2024142236
372	0.2022285851
373	0.2021507688
374	0.2020744609
375	0.2008716213
376	0.2004311277
377	0.2003588905
378	0.1993346436
379	0.1983015026
380	0.1977564813
381	0.1976881108
382	0.1965250883
383	0.1963640784
384	0.1951822289
385	0.1950228251
386	0.1948723058
387	0.1936469731
388	0.1935853478
389	0.1934436057
390	0.1933838741
391	0.1929987143
392	0.192864841
393	0.1928081885
394	0.1927510446
395	0.1918192678
396	0.1911065031
397	0.1909820813
398	0.1909298844
399	0.1900626574
400	0.1900106434
401	0.1896753473
402	0.1884601694
403	0.1876626118
404	0.1871811506
405	0.1870697544
406	0.1863493039
407	0.1860110237
408	0.1859048664
409	0.185069692
410	0.1845237641
411	0.183777991
412	0.1837350309
413	0.1836928556
414	0.1836515296
415	0.1827622712
416	0.1820649514
417	0.181248922
418	0.1805944809
419	0.1805009564
420	0.1804103979
421	0.1803729781
422	0.1802883665
423	0.1796791381
424	0.1796436731
425	0.1788098158
426	0.1782368935
427	0.1782016028
428	0.1771997425
429	0.1763273983
430	0.1762494544
431	0.1757018545
432	0.175668934
433	0.1750915494
434	0.1750191767
435	0.1749888901
436	0.1749581686
437	0.1743426158
438	0.1739535253
439	0.1734118328
440	0.1723615154
441	0.1722874841
442	0.1713831086
443	0.1702916374
444	0.1698107297
445	0.1697817206
446	0.1686326184
447	0.1686043507
448	0.167580594
449	0.1675530389
450	0.1666025759
451	0.1660348177
452	0.165069707
453	0.16407617
454	0.1631910524
455	0.1627620306
456	0.1622176988
457	0.1613347013
458	0.1603896485
459	0.1598934633
460	0.1589350601
461	0.1584485643
462	0.1575676151
463	0.1571494554
464	0.1564074589
465	0.1555498908
466	0.1547610481
467	0.154373425
468	0.1541610093
469	0.1541368258
470	0.1533936792
471	0.1529244596
472	0.1520411619
473	0.1511964055
474	0.150691451
475	0.1501095442
476	0.1497466564
477	0.1489586169
478	0.1482219656
479	0.1477800058
480	0.1470077695
481	0.146313998
482	0.1459631999
483	0.145534178
484	0.1452006862
485	0.1443063877
486	0.1439108728
487	0.1430250237
488	0.1421748516
489	0.1417336339
490	0.1413618142
491	0.1405600881
492	0.1402577519
493	0.1396971714
494	0.1389418783
495	0.1380741659
496	0.1377023191
497	0.1373703724
498	0.136469045
499	0.1358883355
500	0.1350606718
501	0.1347327937
502	0.134433455
503	0.1341546439
504	0.1333558238
505	0.1325893729
506	0.1317694616
507	0.1311377362
508	0.1304518909
509	0.1301365392
510	0.1295488903
511	0.1288464601
512	0.1280838657
513	0.1271944251
514	0.1265170146
515	0.1262504549
516	0.1259519477
517	0.1252212514
518	0.1245525528
519	0.1239533683
520	0.1233453289
521	0.1226354054
522	0.1222049496
523	0.1217973951
524	0.1215522563
525	0.1213195809
526	0.1207528311
527	0.1199496589
528	0.1192781159
529	0.1189896057
530	0.1187193107
531	0.1180865683
532	0.1175578151
533	0.1169628241
534	0.1164049346
535	0.1158699642
536	0.115269534
537	0.1147603433
538	0.1143837044
539	0.113850405
540	0.1136146371
541	0.1128773409
542	0.1123814516
543	0.1118398745
544	0.1114137169
545	0.1111447099
546	0.110879165
547	0.1105015557
548	0.1099496159
549	0.1099197761
550	0.1098897168
551	0.1095469867
552	0.1092014796
553	0.1084796645
554	0.1079991809
555	0.1075301801
556	0.1075012919
557	0.1068551154
558	0.1063217124
559	0.1057953333
560	0.105485372
561	0.1054580886
562	0.1054313364
563	0.1050935923
564	0.104465053
565	0.1041399457
566	0.1036399935
567	0.1031718649
568	0.1026965422
569	0.1023041022
570	0.1018683515
571	0.1012951258
572	0.1010060119
573	0.1006436574
574	0.1001686834
575	0.09994963236
576	0.09992123481
577	0.09961969961
578	0.09903632249
579	0.09883011061
580	0.09880254288
581	0.09877464114
582	0.09826411335
583	0.09777165812
584	0.09737756437
585	0.09689018867
586	0.09648509907
587	0.09602181679
588	0.09574832196
589	0.09572210855
590	0.09525010798
591	0.09483566942
592	0.09442748361
593	0.09440147209
594	0.09398020783
595	0.09356289654
596	0.09345394091
597	0.0934262876
598	0.09340103222
599	0.09301310117
600	0.09298823461
601	0.09253900576
602	0.0919867917
603	0.0915866548
604	0.09138125082
605	0.09102021624
606	0.09064602463
607	0.09062104149
608	0.09059654397
609	0.09035535726
610	0.09001137321
611	0.08998537437
612	0.08955184436
613	0.0891287366
614	0.08877225373
615	0.08818980465
616	0.08808094323
617	0.08766943645
618	0.08728937916
619	0.08695547638
620	0.08662425538
621	0.08659783215
622	0.08605799682
623	0.08554321559
624	0.08523929539
625	0.08521401093
626	0.08473286879
627	0.0844300572
628	0.08423891381
629	0.08421494304
630	0.08402960175
631	0.08363023384
632	0.08308707036
633	0.08306328923
634	0.08278593377
635	0.08235191631
636	0.08232839142
637	0.08197628296
638	0.08195312094
639	0.08164364984
640	0.0811221589
641	0.08056689627
642	0.08019469214
643	0.08017145597
644	0.07990072228
645	0.07947687141
646	0.07896381154
647	0.07870475452
648	0.07844371903
649	0.07833092535
650	0.07816766023
651	0.07791018527
652	0.0774505872
653	0.07714795842
654	0.07686297861
655	0.07683946787
656	0.07666579756
657	0.07649260796
658	0.07646886935
659	0.07607915511
660	0.07590079111
661	0.07568139895
662	0.07557352195
663	0.07513222085
664	0.07510896007
665	0.07508620797
666	0.0750629703
667	0.0748425311
668	0.07438772845
669	0.07436609641
670	0.07389593395
671	0.07387458705
672	0.07351492383
673	0.07349388586
674	0.07333130923
675	0.07316696882
676	0.07297728239
677	0.07280616175
678	0.07235517
679	0.07233460386
680	0.07222788331
681	0.07207861407
682	0.07205842179
683	0.07184273772
684	0.07145271082
685	0.07130850636
686	0.07128807539
687	0.07086583976
688	0.070846142
689	0.07064285602
690	0.07053658251
691	0.07016009722
692	0.06982274387
693	0.06980343154
694	0.06968744913
695	0.06936868775
696	0.06934966973
697	0.06916189819
698	0.06884103897
699	0.06873731413
700	0.06871734701
701	0.06855278062
702	0.06816732063
703	0.0677939128
704	0.06761916518
705	0.06730344468
706	0.0672846088
707	0.06726613904
708	0.06693560407
709	0.06677741576
710	0.06675923742
711	0.06656895339
712	0.06637752618
713	0.06609833419
714	0.06598304531
715	0.06587980074
716	0.06569621146
717	0.06559704529
718	0.065291922
719	0.06500409742
720	0.06498591295
721	0.06469225759
722	0.06457170436
723	0.0641851014
724	0.06401793959
725	0.06386434671
726	0.06353701002
727	0.06343289608
728	0.06329022328
729	0.06327239083
730	0.06316747886
731	0.06290742436
732	0.06254526026
733	0.06252760604
734	0.06243217856
735	0.06211711872
736	0.06183002852
737	0.06168396936
738	0.06166664733
739	0.06135623291
740	0.06133916239
741	0.06106823116
742	0.06097513831
743	0.06087232548
744	0.0605634734
745	0.06054699042
746	0.06042796518
747	0.06031212533
748	0.06022231806
749	0.0599406761
750	0.05968078996
751	0.05943659304
752	0.05931009666
753	0.05921273945
754	0.05910721406
755	0.05888133585
756	0.05863280091
757	0.05861536052
758	0.05859923851
759	0.05845538233
760	0.05822633264
761	0.05807792803
762	0.0577094126
763	0.05736317482
764	0.05721186886
765	0.0571956432
766	0.05691824044
767	0.05669974168
768	0.0564995291
769	0.05636778899
770	0.05614515188
771	0.05604049406
772	0.05592598794
773	0.05590974676
774	0.05589385943
775	0.05565118665
776	0.05533715118
777	0.05521056321
778	0.05494135084
779	0.05468845289
780	0.05455409327
781	0.05432289377
782	0.05430689157
783	0.05411405635
784	0.05409830827
785	0.05386099066
786	0.05369178526
787	0.05356266488
788	0.05354710228
789	0.05343012479
790	0.0532054139
791	0.05308242119
792	0.05297207559
793	0.05275715202
794	0.05263040351
795	0.05261495194
796	0.0525275874
797	0.05241986666
798	0.05224633556
799	0.05223118911
800	0.05215522865
801	0.05193621116
802	0.05192134346
803	0.05170542021
804	0.05140309706
805	0.05138840343
806	0.05128526979
807	0.05105204424
808	0.05094393843
809	0.05066576219
810	0.0505920908
811	0.05047376685
812	0.05036035221
813	0.05034574867
814	0.0502383708
815	0.05002427198
816	0.05000988857
817	0.04978882957
818	0.04958228935
819	0.04936636212
820	0.04917275243
821	0.04906896227
822	0.04895835686
823	0.04877684371
824	0.0486681653
825	0.04865192976
826	0.04847843823
827	0.0483694229
828	0.04835341283
829	0.04814207366
830	0.04803819957
831	0.04784279297
832	0.04765520485
833	0.04755969703
834	0.04729569576
835	0.04708649241
836	0.04698309697
837	0.04679187455
838	0.04667562947
839	0.04658965906
840	0.04633728248
841	0.04622340335
842	0.04614090414
843	0.04604343015
844	0.04584514563
845	0.04566276922
846	0.04555684534
847	0.04541779954
848	0.04536338361
849	0.04534844451
850	0.04533371949
851	0.04515553412
852	0.04507459171
853	0.04498408231
854	0.04481434485
855	0.04472838191
856	0.04471194631
857	0.04469754905
858	0.04453826106
859	0.04444107569
860	0.04435210382
861	0.04430232334
862	0.04425945338
863	0.04401236473
864	0.04391632272
865	0.04381121614
866	0.04365893619
867	0.04348052778
868	0.04338847526
869	0.04337408454
870	0.04327430374
871	0.04319093187
872	0.04311464755
873	0.04310044824
874	0.0430865615
875	0.042945601
876	0.04281374594
877	0.04271868564
878	0.04255243821
879	0.04250902176
880	0.04233982054
881	0.0422578007
882	0.0421015422
883	0.04205859317
884	0.04196804829
885	0.04192586208
886	0.04183909047
887	0.04175195194
888	0.04152122472
889	0.04145927402
890	0.04137528515
891	0.04132706082
892	0.04128511167
893	0.04106641303
894	0.0409761259
895	0.04076960671
896	0.04075552016
897	0.04074180622
898	0.04070030078
899	0.04061082988
900	0.04052885412
901	0.04045036429
902	0.04037520936
903	0.04018132924
904	0.04002147975
905	0.03988112356
906	0.039672638
907	0.03959945152
908	0.03952936289
909	0.03946223757
910	0.03938249431
911	0.03934046035
912	0.03921962313
913	0.03904274635
914	0.03898298255
915	0.03896899027
916	0.03889853905
917	0.03875243173
918	0.03871067619
919	0.03864516638
920	0.03857113156
921	0.03833658226
922	0.03821119762
923	0.03799019705
924	0.03794849143
925	0.03785951898
926	0.03774386966
927	0.03767965162
928	0.03761812784
929	0.03740843531
930	0.03735241366
931	0.0371819927
932	0.03710286501
933	0.0370887463
934	0.03704761364
935	0.03690265425
936	0.03683623142
937	0.03675520197
938	0.03668410954
939	0.03648327466
940	0.0364242924
941	0.03625943437
942	0.03624539973
943	0.03609026092
944	0.03598703394
945	0.03593430764
946	0.03579236318
947	0.0356493131
948	0.03559796518
949	0.03555608873
950	0.03549814223
951	0.03542336461
952	0.03540915236
953	0.03535938978
954	0.03531817436
955	0.03527776817
956	0.03508252942
957	0.0350262874
958	0.03495639867
959	0.03490244987
960	0.03483019388
961	0.03481618552
962	0.03476911539
963	0.03475555971
964	0.03464892038
965	0.03451736309
966	0.0344665517
967	0.03439728167
968	0.03421429621
969	0.03416705901
970	0.03410155826
971	0.03396609084
972	0.03392630358
973	0.03380004822
974	0.03378646619
975	0.0337381822
976	0.03369364326
977	0.03365675252
978	0.03361754464
979	0.03360399335
980	0.03359072145
981	0.03355518542
982	0.03351683583
983	0.03340363774
984	0.03336930565
985	0.03319908635
986	0.03302828874
987	0.03301542038
988	0.03297038692
989	0.03284199658
990	0.03280638785
991	0.03276808075
992	0.0327551496
993	0.0327129721
994	0.03267930809
995	0.03264103667
996	0.03262872767
997	0.03246612923
998	0.03232448925
999	0.03228756781
